"","Typ","Namn","Address4","Address5","RT90x","RT90y","WGS84x","WGS84y"
"472","Ombud","Kastbergs Livs","HÅLLNÄS","Uppsala län",6714874,1613837,60.5352801866931,17.879013941244
"473","Ombud","Handlarn Järlåsa","JÄRLÅSA","Uppsala län",6641585,1577927,59.8862342321211,17.1969613524783
"474","Ombud","Handlarn Oxsätra","BÄLINGE","Uppsala län",6654650.321,1586866.745,60.001680298715,17.3620492311932
"475","Ombud","Tempo Vattholma","VATTHOLMA","Uppsala län",6656926,1607556,60.0172082524089,17.7338307465621
"476","Ombud","Coop Nära Almunge","ALMUNGE","Uppsala län",6641932,1624371,59.8779876598089,18.0260979389706
"477","Ombud","Örsundsbro Livs","ÖRSUNDSBRO","Uppsala län",6624934,1584660,59.7355050663351,17.3104231933394
"478","Ombud","Tempo Fjärdhundra","FJÄRDHUNDRA","Uppsala län",6629106.242,1563140.156,59.7767703227061,16.9291493274279
"479","Ombud","Coop Konsum Östhammar","ÖSTHAMMAR","Uppsala län",6685016,1642091,60.2585983803257,18.3720331565757
"480","Ombud","Ullis Bazar","ALUNDA","Uppsala län",6662783,1626774,60.0642627324137,18.0817684736916
"481","Ombud","Ica Supermarket Gimo","GIMO","Uppsala län",6675086,1632060,60.1729265351764,18.184550741376
"482","Ombud","ICA Brukskanonen","ÖSTERBYBRUK","Uppsala län",6677142,1615639,60.1963440117959,17.8900945008565
"483","Ombud","ICA Knuten","KNUTBY","Uppsala län",6645996,1637674,59.910217560929,18.2661084923689
"484","Ombud","Coop Nära Högsjö","HÖGSJÖ","Södermanlands län",6545153,1492223,59.0278910703873,15.6697457935831
"485","Ombud","ICA Nära Strandhallen","STJÄRNHOV","Södermanlands län",6551471,1569195,59.079077860004,17.0118746621791
"486","Ombud","Coop Nära Nävekvarn","NÄVEKVARN","Södermanlands län",6501339,1557793,58.6307964721613,16.8000928198376
"487","Ombud","Handlarn Jönåker","JÖNÅKER","Södermanlands län",6514026,1553182,58.745267224907,16.7237136020845
"488","Ombud","Handlarn Vrena","VRENA","Södermanlands län",6542650.723,1568671.485,59.0000004400109,16.9999994313562
"489","Ombud","Coop Nära Tystberga","TYSTBERGA","Södermanlands län",6526011,1582719,58.8481884334472,17.2381389717907
"490","Ombud","Coop Konsum","HÄLLEFORSNÄS","Södermanlands län",6559236,1539566,59.1525502653681,16.49662581467
"491","Ombud","Björkviks Handel","BJÖRKVIK","Södermanlands län",6524327,1540988,58.8390616849735,16.5150069075033
"492","Ombud","Ica Julitahallen","JULITA","Södermanlands län",6558709.018,1515061.387,59.1493893897882,16.0683505279735
"493","Ombud","Ica Nära Stora Sundby","STORA SUNDBY","Södermanlands län",6572389,1517828,59.2720822713984,16.1178113774492
"494","Ombud","Coop Nära Ärla","ÄRLA","Södermanlands län",6573842,1549627,59.2825957247297,16.675760948739
